ID,is_attrited,Age,Gender,Dependent_cnt,Edu_level,Marital_status,Income,Card,Period_m,Total_rel_cnt,Inactive_last_12m,Contacts_cnt_last_12m,Credit_limit,Total_trans_amt,Total_trans_cnt
99,0,56,F,4,High School,Married,$40K - $60K,Blue,36,5,1,1,2072,1265,32
100,0,49,F,4,College,Single,Less than $40K,Blue,33,4,2,3,2097,4148,71
101,0,57,M,2,Graduate,Married,$120K +,Blue,49,6,3,1,4698,1865,35
102,1,40,M,3,Graduate,Married,$120K +,Blue,27,5,3,2,2269,2108,39
103,0,36,F,3,Graduate,Single,Less than $40K,Blue,31,3,2,3,2937,2511,51
104,0,46,M,2,High School,Married,$60K - $80K,Blue,35,6,3,3,13768,1390,44
105,0,50,F,4,High School,Single,Less than $40K,Blue,42,2,1,2,1460,4265,63
106,0,45,F,2,High School,Married,Less than $40K,Blue,36,4,1,3,1640,4597,77
107,0,38,F,3,Uneducated,Single,Unknown,Blue,36,5,3,3,13220,3789,72
108,1,48,F,3,High School,Married,Less than $40K,Blue,43,3,3,3,1670,2790,37
109,0,52,F,1,Graduate,Single,Less than $40K,Blue,44,6,3,1,2484,4084,86
110,0,51,M,4,High School,Single,$120K +,Blue,46,6,3,3,34516,1795,47
111,0,43,M,5,Graduate,Single,$40K - $60K,Blue,33,4,2,1,1438.3,4509,80
112,0,26,F,0,College,Married,$40K - $60K,Blue,13,2,3,3,2010,3625,85
113,0,35,M,0,Unknown,Married,$120K +,Blue,36,5,2,1,3176,2074,48
114,0,56,F,2,Unknown,Married,Less than $40K,Blue,36,5,3,3,2029,4170,73
115,0,40,M,4,Graduate,Single,$80K - $120K,Blue,29,5,1,2,14315,2603,56
116,0,49,F,4,Unknown,Married,$40K - $60K,Blue,29,6,3,2,1564,5172,78
117,0,44,F,4,Graduate,Divorced,Less than $40K,Blue,30,4,3,2,1791,5109,79
118,0,49,F,4,Graduate,Single,Less than $40K,Blue,40,4,2,2,2712,4678,74
119,0,44,M,3,Graduate,Divorced,$60K - $80K,Blue,37,5,2,3,3290,4780,84
120,0,37,M,3,High School,Single,$80K - $120K,Blue,24,1,2,3,3437,5110,76
121,0,51,F,0,Doctorate,Single,Less than $40K,Blue,38,2,2,2,4132,13820,129
122,0,49,F,3,High School,Divorced,Unknown,Blue,40,3,3,2,5267,1353,24
123,1,39,M,5,Graduate,Single,$60K - $80K,Blue,36,1,3,3,24657,1954,46
124,0,28,M,0,High School,Married,Unknown,Blue,21,5,3,5,25618,2157,49
125,0,44,F,4,High School,Single,Less than $40K,Blue,35,2,5,3,1552,5064,80
126,1,46,F,3,Unknown,Unknown,Less than $40K,Blue,41,5,3,2,4710,2690,43
127,0,49,F,4,Unknown,Single,Less than $40K,Blue,45,5,3,2,9431,14261,99
128,1,53,F,0,Graduate,Single,Less than $40K,Blue,40,4,1,4,1438.3,2014,53
129,0,63,F,0,Uneducated,Unknown,$40K - $60K,Blue,55,6,2,2,1651,4050,58
130,0,40,F,2,Graduate,Married,Less than $40K,Blue,36,3,2,3,2423,4258,80
131,0,38,F,1,High School,Divorced,Less than $40K,Blue,30,2,3,2,2722,4488,88
132,0,57,F,3,Post-Graduate,Single,$40K - $60K,Blue,51,5,4,5,7226,3474,67
133,0,58,F,1,High School,Married,Less than $40K,Blue,43,4,1,4,1957,4546,78
134,0,50,M,2,Post-Graduate,Single,$60K - $80K,Blue,36,1,3,2,2296,5483,77
135,0,27,M,1,High School,Single,$60K - $80K,Blue,18,5,2,2,2730,2319,61
136,0,49,F,4,College,Married,Less than $40K,Blue,36,1,1,2,3244,7495,97
137,0,44,F,3,College,Divorced,$40K - $60K,Blue,34,5,2,5,4513,3164,62
138,0,46,M,3,High School,Single,$120K +,Blue,34,5,3,2,5155,3535,57
139,0,41,M,3,High School,Divorced,$60K - $80K,Blue,33,2,2,2,20749,4754,77
140,0,51,M,2,Graduate,Married,$40K - $60K,Blue,40,5,1,2,12240,1422,26
141,0,32,M,1,High School,Married,$40K - $60K,Blue,18,4,1,4,4583,2395,57
142,0,44,F,3,Graduate,Married,Unknown,Blue,36,4,2,3,21242,1283,37
143,0,49,F,2,Graduate,Married,Less than $40K,Blue,39,2,3,3,2821,8220,103
144,1,43,F,3,Uneducated,Married,Less than $40K,Blue,32,6,3,3,1897,2866,47
145,0,43,F,3,Graduate,Married,$40K - $60K,Blue,33,6,2,3,4343,1352,35
146,0,58,F,0,Unknown,Married,Less than $40K,Blue,36,3,3,3,3832,4741,88
147,1,50,M,3,College,Single,$80K - $120K,Silver,36,3,3,2,34516,7155,66
148,0,42,F,3,Graduate,Single,Less than $40K,Blue,35,5,2,4,5596,3896,65
149,0,52,F,2,High School,Married,Unknown,Blue,44,6,3,2,3456,1332,24
150,0,46,F,2,Unknown,Married,Less than $40K,Blue,36,2,3,1,3123,4117,76
151,0,50,M,3,Graduate,Single,$120K +,Blue,42,3,1,3,33996,3569,77
152,0,49,M,2,Unknown,Unknown,$60K - $80K,Blue,36,5,3,2,6511,1478,38
153,0,46,F,3,Graduate,Unknown,Less than $40K,Blue,36,5,3,4,5090,3707,72
154,0,41,F,4,Graduate,Single,Less than $40K,Blue,24,3,3,1,2069,4962,70
155,0,40,F,3,High School,Single,$40K - $60K,Blue,36,5,3,2,5124,1158,42
156,0,51,F,3,Graduate,Single,Unknown,Blue,45,4,3,4,2420,4348,86
157,0,43,M,2,High School,Single,$60K - $80K,Blue,36,4,3,2,6976,1217,39
158,1,65,F,0,Uneducated,Single,Less than $40K,Blue,50,3,4,4,1697,2799,49
159,0,43,F,2,High School,Single,$40K - $60K,Blue,38,4,2,2,5070,4193,67
160,0,58,M,1,High School,Married,$40K - $60K,Blue,36,3,2,5,2165,1541,33
161,0,46,F,5,High School,Married,Unknown,Blue,35,3,1,3,4163,4763,76
162,0,32,F,1,Post-Graduate,Married,Less than $40K,Blue,20,5,2,3,2234,2115,59
163,1,44,F,2,Graduate,Married,Less than $40K,Blue,33,3,2,2,2417,1848,38
164,0,29,F,2,Unknown,Single,Less than $40K,Blue,21,4,3,2,2298,4814,88
165,1,42,F,2,Graduate,Single,$40K - $60K,Silver,32,4,3,3,17909,5977,58
166,0,50,F,3,Uneducated,Married,Unknown,Blue,38,4,4,1,11486,4918,79
167,0,39,F,2,High School,Single,$40K - $60K,Blue,26,6,3,2,3142,3046,56
168,0,55,M,2,Uneducated,Single,$120K +,Blue,36,6,2,3,29795,3949,71
169,0,50,M,2,Unknown,Married,$80K - $120K,Blue,38,3,3,1,6030,3420,81
170,0,39,F,1,Graduate,Single,Less than $40K,Silver,30,5,2,2,10190,3768,59
171,0,46,M,3,Uneducated,Divorced,$60K - $80K,Blue,34,4,3,0,11501,1481,41
172,0,47,F,2,High School,Single,Less than $40K,Blue,41,1,1,2,3108,14965,127
173,0,26,F,1,High School,Unknown,Unknown,Blue,13,3,1,3,10693,4138,76
174,0,53,M,1,Unknown,Married,$120K +,Blue,36,2,3,3,19252,14074,112
175,1,44,M,2,Doctorate,Married,$80K - $120K,Blue,38,1,2,1,25894,4847,49
176,0,48,F,2,Unknown,Married,Less than $40K,Blue,37,4,2,3,5758,4422,76
177,0,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026,1237,32
178,0,50,F,5,Uneducated,Single,Less than $40K,Blue,33,4,3,3,2837,3928,54
179,1,42,M,3,Graduate,Married,$40K - $60K,Blue,23,5,3,2,5791,2516,64
180,0,44,F,1,Unknown,Divorced,Less than $40K,Silver,34,1,1,3,13259,8998,102
181,0,32,M,1,High School,Single,$60K - $80K,Blue,36,4,2,2,2999,3018,80
182,0,38,M,2,High School,Single,$60K - $80K,Silver,30,4,3,4,26556,3168,73
183,0,46,M,2,Uneducated,Divorced,$80K - $120K,Blue,36,6,3,3,34516,1628,51
184,0,44,M,3,High School,Single,$120K +,Silver,36,1,2,2,34516,7936,76
185,0,32,M,3,Unknown,Single,$120K +,Blue,20,6,2,2,14244,2729,66
186,0,47,F,4,Post-Graduate,Single,Unknown,Blue,36,6,1,0,3054,3543,87
187,1,62,F,2,Graduate,Married,Less than $40K,Blue,52,4,2,2,2490,864,20
188,0,48,M,2,High School,Married,$80K - $120K,Blue,44,5,1,2,11332,4674,72
189,0,40,M,3,Uneducated,Divorced,$80K - $120K,Blue,25,4,3,4,11721,4187,73
190,0,47,M,3,Graduate,Married,Less than $40K,Blue,41,6,1,4,5833,3732,75
191,0,43,F,2,College,Married,Less than $40K,Blue,36,6,2,4,6979,1665,44
192,0,55,F,2,Post-Graduate,Married,Less than $40K,Blue,45,3,3,3,2163,1349,47
193,0,46,F,4,Unknown,Unknown,$40K - $60K,Blue,38,4,2,3,2505,4384,80
194,0,53,M,4,College,Single,$60K - $80K,Blue,42,3,3,3,3096,4709,87
195,0,52,F,2,Graduate,Single,Less than $40K,Blue,38,2,2,3,2904,4503,89
196,0,64,F,1,High School,Married,$40K - $60K,Blue,56,4,2,4,1438.3,1417,35
197,0,54,F,4,Post-Graduate,Married,Less than $40K,Blue,49,3,3,2,2802,5924,88
198,1,50,F,2,Graduate,Unknown,Less than $40K,Blue,36,5,2,2,1438.3,2329,43
199,0,47,M,3,Uneducated,Divorced,$60K - $80K,Blue,41,2,3,3,1943,5108,81
200,0,48,F,3,High School,Single,Less than $40K,Blue,40,1,3,3,3520,3630,78
201,0,45,F,3,Graduate,Married,$40K - $60K,Blue,38,3,6,1,4195,4430,72
202,0,58,M,1,Post-Graduate,Single,$80K - $120K,Blue,41,4,2,1,2915,4235,73
203,1,38,F,1,Unknown,Married,Less than $40K,Blue,20,2,2,3,1621,1893,41
204,0,55,M,3,Uneducated,Single,$40K - $60K,Blue,36,1,3,3,10949,7685,91
205,0,47,F,4,Unknown,Single,Less than $40K,Blue,39,3,3,4,1548,4420,71
206,0,54,F,2,Unknown,Single,Less than $40K,Blue,47,3,2,3,2341,3406,57
207,0,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470,931,18
208,0,39,F,2,High School,Married,Unknown,Blue,27,6,1,3,9347,2201,46
209,0,54,M,1,Unknown,Single,$60K - $80K,Blue,48,4,5,4,4752,15678,103
210,0,51,F,2,Graduate,Married,Less than $40K,Blue,46,5,2,2,5207,1339,20
211,0,47,F,3,Graduate,Unknown,Unknown,Blue,34,5,1,4,18064,4435,88
212,0,48,F,4,Uneducated,Single,Unknown,Blue,44,4,3,0,2231,3946,48
213,0,53,F,5,Unknown,Married,Less than $40K,Blue,42,1,2,2,4021,14567,120
214,0,49,M,4,Graduate,Married,$80K - $120K,Blue,39,5,1,1,34516,3951,76
215,1,42,F,4,Graduate,Married,$40K - $60K,Blue,33,4,3,2,2918,2056,54
216,0,51,M,2,Unknown,Unknown,$120K +,Blue,33,6,2,2,19715,1979,40
217,0,49,F,4,Uneducated,Unknown,Unknown,Blue,39,5,2,3,11545,3996,65
218,0,47,F,4,Unknown,Unknown,Less than $40K,Blue,34,6,2,4,2424,3890,66
219,0,39,F,0,Graduate,Divorced,Less than $40K,Blue,32,2,2,1,1438.3,4386,64
220,0,44,F,2,Uneducated,Married,Less than $40K,Blue,34,3,3,1,2296,5108,87
221,0,47,M,4,Uneducated,Divorced,$80K - $120K,Blue,30,5,2,2,17682,1747,31
222,0,52,F,1,Unknown,Married,Unknown,Blue,45,2,4,0,23486,4530,74
223,1,48,F,4,Post-Graduate,Single,Less than $40K,Blue,38,3,3,3,3874,4921,51
224,0,48,F,4,Uneducated,Single,Less than $40K,Blue,37,6,3,4,2646,4246,80
225,0,45,F,1,Unknown,Married,Less than $40K,Blue,32,4,1,3,6373,3483,82
226,0,38,F,1,Unknown,Married,$40K - $60K,Blue,26,5,3,1,2346,4116,79
227,0,42,M,1,Graduate,Married,$60K - $80K,Blue,33,6,2,3,17165,4063,62
228,0,34,M,1,Unknown,Married,$40K - $60K,Blue,36,2,2,2,3995,12575,99
229,0,56,F,3,Uneducated,Single,Less than $40K,Blue,46,4,3,2,2258,4803,72
230,1,46,F,2,Unknown,Single,$40K - $60K,Blue,33,5,3,6,3001,2577,39
231,0,56,M,2,Graduate,Married,$120K +,Blue,49,4,1,4,8902,969,29
232,0,62,M,0,Unknown,Single,Less than $40K,Blue,36,3,2,4,3653,4423,67
233,0,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,1,3,11127,1546,25
234,0,39,M,1,Uneducated,Single,$60K - $80K,Blue,22,4,3,3,9204,1820,58
235,0,31,M,0,Graduate,Single,$40K - $60K,Blue,36,2,3,3,4661,14257,110
236,0,64,F,1,High School,Divorced,Unknown,Blue,36,3,3,1,18038,4168,64
237,0,39,F,1,Graduate,Single,Less than $40K,Blue,28,5,3,3,1809,4452,83
238,0,57,F,4,Post-Graduate,Single,$40K - $60K,Blue,48,4,2,1,2576,3913,86
239,1,41,F,3,Doctorate,Single,Unknown,Blue,36,2,3,6,2246,3607,51
240,0,46,F,3,College,Married,Unknown,Blue,40,3,3,3,10600,4697,67
241,0,43,F,2,High School,Married,Less than $40K,Blue,37,4,2,2,3125,4422,71
242,0,39,M,2,Graduate,Married,$60K - $80K,Blue,23,5,2,1,4761,2045,53
243,0,37,F,3,High School,Married,Less than $40K,Blue,19,5,1,3,4138,2420,50
244,0,48,M,2,Graduate,Married,$40K - $60K,Blue,41,5,2,4,2582,2144,42
245,0,42,M,3,Graduate,Married,$60K - $80K,Blue,36,2,2,3,4953,4026,53
246,0,58,M,3,High School,Married,$60K - $80K,Blue,46,5,3,2,8184,2140,49
247,0,31,M,0,Graduate,Divorced,$80K - $120K,Silver,19,1,3,3,34516,14969,96
248,0,36,M,3,High School,Married,$60K - $80K,Blue,36,6,3,3,4108,2275,58
249,0,52,F,1,College,Single,Less than $40K,Blue,43,5,2,3,1438.3,4219,83
250,0,38,F,3,Uneducated,Married,Less than $40K,Blue,23,6,2,2,5645,1527,32
251,0,64,F,0,Graduate,Single,Less than $40K,Blue,56,4,2,3,2294,3951,79
252,0,45,M,2,Graduate,Single,$80K - $120K,Blue,39,6,3,3,1613,3549,65
253,1,51,F,1,Graduate,Married,Less than $40K,Blue,39,5,3,2,1438.3,2492,35
254,1,47,F,3,Graduate,Unknown,Less than $40K,Blue,38,2,2,3,3165,2751,49
255,0,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734,1289,23
256,0,46,M,2,Post-Graduate,Married,$60K - $80K,Blue,36,3,2,2,5464,4866,81
257,0,42,M,4,Uneducated,Single,$80K - $120K,Silver,36,2,2,1,34516,7836,93
258,0,46,F,4,Doctorate,Divorced,Less than $40K,Blue,38,4,3,2,4120,4792,81
259,0,50,F,3,Unknown,Single,$40K - $60K,Blue,36,5,3,3,12740,3441,55
260,1,41,M,3,Doctorate,Single,$80K - $120K,Blue,29,2,2,3,24001,9102,75
261,0,37,M,3,Graduate,Married,$80K - $120K,Blue,18,5,3,2,1663,3950,82
262,1,45,F,2,Graduate,Married,Less than $40K,Blue,25,3,2,3,5911,1656,31
263,0,58,F,1,Uneducated,Married,Less than $40K,Blue,39,3,3,3,2210,1287,37
264,0,60,F,0,College,Married,Less than $40K,Blue,49,5,3,3,1634,4522,83
265,0,44,M,2,High School,Single,$80K - $120K,Blue,36,5,3,0,22143,4263,62
266,0,43,M,5,Graduate,Single,$80K - $120K,Blue,36,1,1,3,7196,8689,93
267,0,32,M,1,Unknown,Single,$40K - $60K,Silver,16,3,3,1,17894,15305,111
268,0,30,M,0,High School,Married,Less than $40K,Blue,21,5,4,3,2490,2441,53
269,1,44,M,3,Unknown,Single,$60K - $80K,Blue,36,2,3,3,15422,2136,54
270,0,38,F,3,Graduate,Married,Less than $40K,Blue,18,6,3,2,2193,1799,47
271,0,48,M,4,Graduate,Married,$120K +,Blue,39,4,2,4,24931,5031,79
272,0,53,F,3,High School,Unknown,Less than $40K,Blue,37,3,2,4,7202,1397,33
273,0,59,M,1,Uneducated,Married,$40K - $60K,Blue,53,5,1,3,2182,1660,34
274,0,58,F,1,Graduate,Single,Less than $40K,Blue,36,5,1,1,3173,3797,75
275,0,41,F,2,College,Married,Less than $40K,Blue,36,5,5,1,1438.3,4565,84
276,0,58,M,4,Graduate,Married,$120K +,Silver,45,4,2,3,34516,15560,100
277,0,36,M,2,Graduate,Single,$120K +,Blue,28,4,3,0,3174,3140,74
278,1,57,F,1,Uneducated,Single,Less than $40K,Blue,46,2,3,3,9129,7733,81
279,0,50,M,2,Unknown,Divorced,$60K - $80K,Blue,41,6,1,3,2966,1986,50
280,0,49,M,4,College,Single,$60K - $80K,Blue,35,1,2,2,17350,16132,118
281,0,62,M,0,Graduate,Single,$80K - $120K,Blue,56,4,3,3,1438.3,3628,74
282,0,65,M,1,Graduate,Single,Less than $40K,Blue,56,5,3,2,7636,3880,67
283,0,53,F,1,Unknown,Married,Less than $40K,Blue,36,2,2,3,1472,4859,73
284,0,42,F,1,Graduate,Single,Less than $40K,Blue,36,4,3,1,3595,5025,84
285,0,51,F,3,Uneducated,Unknown,Less than $40K,Blue,36,3,1,2,1750,4333,68
286,0,56,F,2,Graduate,Married,Less than $40K,Blue,45,4,3,3,2665,1880,58
287,0,50,M,2,Unknown,Single,$120K +,Blue,37,6,3,4,15341,2916,65
288,0,49,F,4,Unknown,Divorced,Less than $40K,Blue,43,5,1,2,3232,3915,74
289,0,61,F,1,Graduate,Married,Unknown,Blue,50,3,3,1,3359,4871,79
290,1,46,F,3,High School,Married,Less than $40K,Blue,39,3,3,0,1801,2252,42
291,0,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940,1259,33
292,0,60,F,1,Post-Graduate,Single,$40K - $60K,Blue,50,4,1,2,4606,4181,63
293,0,47,F,4,Graduate,Married,Less than $40K,Blue,30,2,3,3,2124,4592,83
294,0,46,F,4,Unknown,Single,$40K - $60K,Silver,35,6,3,2,16985,2961,56
295,1,56,F,2,Uneducated,Single,Less than $40K,Blue,36,1,3,5,1883,1954,45
296,0,50,M,0,High School,Single,$120K +,Silver,45,5,2,3,14938,949,27
297,0,47,M,2,Uneducated,Married,$60K - $80K,Blue,36,4,1,2,9300,3651,67
298,0,34,F,4,High School,Single,Less than $40K,Blue,30,4,1,3,3046,2330,69
299,1,58,M,1,Uneducated,Married,$40K - $60K,Blue,36,2,4,3,1438.3,715,13
300,0,34,M,3,College,Married,$80K - $120K,Blue,28,3,1,3,24765,1544,36
301,0,35,F,2,Uneducated,Married,Less than $40K,Blue,36,3,1,3,2664,3135,59
302,1,43,F,4,Uneducated,Married,Less than $40K,Blue,30,2,2,3,2082,3423,48
303,0,41,F,3,Graduate,Married,Less than $40K,Blue,36,4,3,3,3203,4282,82
304,0,53,F,1,Graduate,Divorced,Less than $40K,Blue,46,5,4,3,3424,4485,61
305,0,53,M,1,Unknown,Married,$40K - $60K,Blue,41,5,1,3,2885,1170,23
